LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
2_LC08_024030_20150426,111106,2015-04-26,140.5,238.36339559778574,209.68847165080473,320.4681061395926,173.04376544452586,70.66344678242689,40.27977731631027,175.874624820573,2827,l8,50,0,2015,538,Apr,116,"(2014,2017]",WI,8,Spring (am)
2_LC08_024030_20150528,111106,2015-05-28,127.5,277.8120564137224,245.46278392962157,442.5719136987192,332.3282269547983,119.63936491782435,86.0812590094472,66.91577764755175,2914,l8,50,0,2015,542,May,148,"(2014,2017]",WI,8,Spring (am)
2_LC08_024030_20150629,111106,2015-06-29,143,238.36339559778574,116.00740494689934,324.41883660214836,160.01791619521268,23.889116925189303,25.30008438824743,78.73403401775386,2890,l8,50,0,2015,509,Jun,180,"(2014,2017]",WI,6,Summer (jja)
2_LC08_024030_20150715,111106,2015-07-15,199.5,292.28902718232865,217.07293757412938,351.03813700662647,272.5122190555626,56.404339296984986,26.45716471133995,47.83580971515812,2919,l8,50,0,2015,513,Jul,196,"(2014,2017]",WI,7,Summer (jja)
2_LC08_024030_20150731,111106,2015-07-31,295,405.98919110493597,383.15107660709657,456.1909635438935,444.59322155143195,296.5039542023743,232.30006131739725,32.17858656815042,2942,l8,50,0,2015,543,Jul,212,"(2014,2017]",WI,8,Summer (jja)
2_LC08_024030_20150816,111106,2015-08-16,245,358.08034698779386,286.7297010876505,406.959112313692,491.11780562345206,205.66736265581602,139.20469525659792,44.83558024139893,2929.5,l8,50,0,2015,513,Aug,228,"(2014,2017]",WI,7,Summer (jja)
2_LC08_024030_20150901,111106,2015-09-01,162,279.8820658545378,224.44746539704175,354.974606663916,361.9415157702628,90.66148471247352,51.71068987256257,40.626638996065594,2938,l8,50,0,2015,524,Sep,244,"(2014,2017]",WI,7,Fall (so)
2_LC08_024030_20160311,111106,2016-03-11,101,189.26022738164542,129.94552739543252,210.1013068551911,115.94560226602643,45.63242884426613,26.45716471133995,198.96034680176172,2809,l8,50,0,2016,503,Mar,71,"(2014,2017]",WI,6,NA
2_LC08_024030_20160412,111106,2016-04-12,149,239.92484724766763,194.88972550291857,316.51553557313156,148.7400174533529,52.82109103547274,31.077492250871583,211.9896397005341,2799,l8,50,0,2016,529,Apr,103,"(2014,2017]",WI,7,Spring (am)
2_LC08_024030_20160530,111106,2016-05-30,263,372.3870786340785,337.9971808679728,442.5719136987192,416.656600647197,225.0758908597092,171.12328833233457,50.23229901613513,2926,l8,50,0,2016,537,May,151,"(2014,2017]",WI,8,Spring (am)
2_LC08_024030_20160615,111106,2016-06-15,98.5,199.73655085777426,163.04426648658873,272.91581248430896,234.72812070770757,64.7365186336108,35.68502978586169,37.01097080242789,2937,l8,50,0,2016,531,Jun,167,"(2014,2017]",WI,8,Summer (jja)
2_LC08_024030_20160701,111106,2016-07-01,247.5,329.37521647551284,285.16838329143457,394.2380975220196,371.0137690761603,132.22708397484314,98.29474456831053,49.034464840983674,2929,l8,50,0,2016,529,Jul,183,"(2014,2017]",WI,7,Summer (jja)
2_LC08_024030_20160717,111106,2016-07-17,390.5,483.7338979663945,454.6813319631422,557.1353656614522,811.5681034052792,336.4323092513856,248.26813558311446,110.23326135593106,2863,l8,50,0,2016,543,Jul,199,"(2014,2017]",WI,8,Summer (jja)
